Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,CD:Professional Grader - (ID: 27501),CD:Grade - (ID: 27502),CDA:Certification Number - (ID: 27503),CD:Card Condition - (ID: 40001),eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
395350494476, New Center Engine Splash Shield For Hyundai XG300 2001-2005,,CAR-HY1228135,1,FIXED_PRICE,USD,7.42,,,7.42,0,1,,Apr-19-24 13:00:03 PDT,Apr-19-25 13:00:03 PDT,Splash Guards & Mud Flaps,50455,,,New,,,,,,US,,,
395301673956," New Front, Driver Side Fender Support For Volkswagen Jetta 2019-2023",,CAR-VW1244114,10,FIXED_PRICE,USD,7.47,,,7.47,0,1,,Mar-28-24 08:49:15 PDT,Apr-28-25 08:49:15 PDT,Fenders,33644,,,New,,,,,,US,,,
395964711899,"New Front, Driver Side Bumper Trim For BMW X5 2000-2003",,CAR-BM1046113,0,FIXED_PRICE,USD,7.47,,,7.47,0,,,Dec-03-24 09:39:05 PST,May-03-25 09:39:05 PDT,Body Moldings & Trims,33654,,,New,,,,,,US,,,
395554332230," Rear, Driver Side Bumper Cover Support For Toyota Yaris 2012-2014",,CAR-TO1182118,6,FIXED_PRICE,USD,7.52,,,7.52,0,,,Jul-25-24 11:13:17 PDT,Apr-25-25 11:13:17 PDT,Bumper Inserts & Covers,262146,,,New,,,,,,US,,,
395628891814," Front, Passenger Side Tow Eye Cover For Toyota RAV4 2019-2023",,CAR-TO1029125,10,FIXED_PRICE,USD,7.52,,,7.52,0,,,Aug-29-24 15:51:17 PDT,Apr-29-25 15:51:17 PDT,Bumper Inserts & Covers,262146,,,New,,,,,,US,,,
395554329865," Rear, Passenger Side Bumper Cover Support For Toyota Yaris 2012-2014",,CAR-TO1183118,7,FIXED_PRICE,USD,7.53,,,7.53,0,,,Jul-25-24 11:10:39 PDT,Apr-25-25 11:10:39 PDT,Bumper Inserts & Covers,262146,,,New,,,,,,US,,,
395350494861, New Driver Side Engine Splash Shield For Daewoo Lanos 1999-2002,,CAR-DA1228102,2,FIXED_PRICE,USD,7.62,,,7.62,0,,,Apr-19-24 13:00:20 PDT,Apr-19-25 13:00:20 PDT,Splash Guards & Mud Flaps,50455,,,New,,,,,,US,,,
395254349061,"New Driver Side, Lower Headlight Bracket For Nissan Xterra 2005-2009",,CAR-NI2508104,6,FIXED_PRICE,USD,7.82,,,7.82,0,,,Mar-07-24 19:05:21 PST,Apr-07-25 19:05:21 PDT,Light Mounts & Brackets,262209,,,New,,,,,,US,,,
395350565425," New Front, Passenger Side Fog Light Cover For Ford Expedition 2007-2014",,CAR-FO1039135,10,FIXED_PRICE,USD,7.84,,,7.84,0,,,Apr-19-24 13:55:17 PDT,Apr-19-25 13:55:17 PDT,Body Moldings & Trims,33654,,,New,,,,,,US,,,
395350569568," New Front, Passenger Side Fog Light Cover For Ford Expedition 2007-2014",,CAR-FO1039135,10,FIXED_PRICE,USD,7.86,,,7.86,0,,,Apr-19-24 14:00:06 PDT,Apr-19-25 14:00:06 PDT,Body Moldings & Trims,33654,,,New,,,,,,US,,,
